Time (s),W,X,Y,Z
2.321479321,-0.3776363,-0.02723169,0.03741362,-0.9229719
2.341491699,-0.3775882,-0.02725448,0.03750582,-0.9229872
2.361504078,-0.377549,-0.02729469,0.03765624,-0.922996
2.381517410,-0.3775761,-0.02732484,0.03768177,-0.922983
2.401529789,-0.3776231,-0.02738245,0.03761065,-0.9229649
2.421542645,-0.3776564,-0.02731855,0.03738334,-0.9229624
2.441555500,-0.3776583,-0.02735493,0.03727682,-0.9229648
2.461568356,-0.3776707,-0.02734124,0.03725376,-0.9229611
2.481580734,-0.3776565,-0.02734422,0.0373322,-0.9229637
2.501594067,-0.3776803,-0.02731459,0.03740586,-0.9229518
2.521606445,-0.3777195,-0.02723344,0.0374687,-0.9229357
2.541619778,-0.3777724,-0.02726082,0.03754114,-0.9229103
2.561632156,-0.3778168,-0.02726625,0.03752298,-0.9228926
2.581644535,-0.377854,-0.02732256,0.03750656,-0.9228764
2.601657391,-0.3778477,-0.02730037,0.03743884,-0.9228824
2.621670246,-0.3778304,-0.02732038,0.03741591,-0.9228898
2.641683102,-0.3778141,-0.02732938,0.03736762,-0.9228981
2.661695480,-0.3777978,-0.02727184,0.03734729,-0.9229074
2.681708813,-0.3777844,-0.02721483,0.03734419,-0.9229147
2.701721191,-0.3777428,-0.0271904,0.03736205,-0.9229317
2.721734524,-0.3777066,-0.02720772,0.03741242,-0.9229439
2.741746902,-0.3776471,-0.02716989,0.03746821,-0.922967
2.761759281,-0.3775918,-0.02718664,0.03754414,-0.9229861
2.781772613,-0.377539,-0.02722391,0.03757393,-0.9230055
2.801784992,-0.3775678,-0.02721685,0.03755141,-0.9229947
2.821797848,-0.3776431,-0.0272469,0.03750943,-0.9229649
2.841810226,-0.377683,-0.02718781,0.03738356,-0.9229553
2.861823559,-0.3776862,-0.02715197,0.03733413,-0.9229571
2.881835937,-0.3777364,-0.02803609,0.0359647,-0.9229645
2.901849270,-0.3777904,-0.02893183,0.03593667,-0.9229159
2.921861649,-0.3777543,-0.03047284,0.03650593,-0.9228586
2.941874981,-0.3777035,-0.02996401,0.03627515,-0.9229051
2.961887360,-0.3776281,-0.03166782,0.03800034,-0.9228097
2.981899738,-0.3775443,-0.03316643,0.03951018,-0.9227279
3.001912594,-0.3774158,-0.03481175,0.04008517,-0.9226951
3.021925449,-0.3771474,-0.03588869,0.04237047,-0.9226616
3.041938305,-0.3769461,-0.03693021,0.04332644,-0.9226583
3.061950684,-0.3766119,-0.03954919,0.04532881,-0.9225901
3.081964016,-0.3763128,-0.04092949,0.04697314,-0.9225696
3.101976395,-0.3757573,-0.04230272,0.04875477,-0.9226416
3.121989727,-0.3751719,-0.04391908,0.05100181,-0.9226828
3.142002106,-0.3746845,-0.04553102,0.052802,-0.9227015
3.162014484,-0.3741489,-0.04652092,0.05569123,-0.9226996
3.182027817,-0.3737081,-0.04807664,0.05670317,-0.9227368
3.202040196,-0.3731549,-0.04925587,0.05974805,-0.9227065
3.222053051,-0.3726559,-0.05145907,0.06066388,-0.9227281
3.239564419,-0.3721786,-0.05179812,0.06436472,-0.9226511
3.259576798,-0.3717155,-0.05449582,0.06523906,-0.922621
3.279590130,-0.3711743,-0.05579098,0.06865404,-0.9225135
3.299602509,-0.370736,-0.05899971,0.07111257,-0.9223039
3.319615364,-0.370249,-0.0611529,0.0761214,-0.9219595
3.339628220,-0.3700105,-0.061113,0.07590337,-0.9220759
3.359641075,-0.3696581,-0.06296612,0.08131187,-0.9216313
3.379653454,-0.3693586,-0.06315121,0.08262219,-0.9216221
3.399666786,-0.3690808,-0.06475264,0.08535841,-0.9213729
3.419679165,-0.3687105,-0.06595799,0.0889651,-0.9210945
3.439691544,-0.3684452,-0.0682207,0.09341631,-0.920595
3.459704876,-0.3683812,-0.06940206,0.09583436,-0.9202837
3.479717255,-0.3679867,-0.07298602,0.09948437,-0.9197768
3.499730110,-0.3677445,-0.07498866,0.1013918,-0.9195042
3.519742966,-0.3675971,-0.07763889,0.1042002,-0.9190292
3.539755821,-0.3673421,-0.08091688,0.1073652,-0.9184839
3.559768200,-0.3671346,-0.08427709,0.1110426,-0.9178272
3.579781532,-0.367204,-0.08703079,0.1127708,-0.9173317
3.599793911,-0.3672943,-0.09264002,0.117827,-0.9161099
3.619807243,-0.3673732,-0.0976438,0.1230948,-0.914865
3.639819622,-0.3675251,-0.103085,0.1280437,-0.9135269
3.659832001,-0.3677645,-0.1089849,0.1333523,-0.9119849
3.679845333,-0.3678869,-0.1157105,0.1398773,-0.9101276
3.699857712,-0.3680736,-0.1208243,0.1454289,-0.9085161
3.719870567,-0.3682346,-0.1249689,0.1510977,-0.9069636
3.739882946,-0.36837,-0.1299482,0.1560811,-0.9053637
3.759896278,-0.3680825,-0.134302,0.1637815,-0.903483
3.779908657,-0.367754,-0.1394512,0.1716867,-0.9013666
3.799921989,-0.3671197,-0.1425088,0.1805425,-0.8994146
3.819934368,-0.3664733,-0.1460637,0.1919731,-0.8967367
