Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
2.621670246,0.3063515,0.08531217,-0.1217714,0.02329278,-0.08188494,0.9882081,-23.43104,23.54886,-7.949691,882.2844
2.641683102,0.05987331,0.321372,0.06126302,0.0267151,-0.08769261,0.9915521,-23.80294,23.5538,-7.51761,882.2844
2.661695480,0.3057992,0.08464345,0.1219485,0.01742723,-0.08531414,0.9910607,-23.80294,23.5538,-7.51761,882.2827
2.681708813,-0.2484133,0.08441248,0.42649,0.01547245,-0.08823754,0.9929631,-23.80294,23.5538,-7.51761,882.2827
2.701721191,0.05961754,-0.03371409,0.06074622,0.01840908,-0.08968265,0.9905444,-23.43183,23.17866,-7.142114,882.2827
2.721734524,-0.3093084,-0.0334812,-0.0002264548,0.02086418,-0.1008473,0.98901,-23.43183,23.17866,-7.142114,882.2827
2.741746902,-0.2480129,-0.03395323,6.106868E-05,0.01694457,-0.09503228,0.9929112,-23.43183,23.17866,-7.142114,882.271
2.761759281,0.3063829,-0.03392361,0.0002905261,0.02672218,-0.09789467,0.9929169,-23.43183,23.17866,-7.142114,882.271
2.781772613,-0.3708208,0.02535065,0.0005767308,0.02916772,-0.09400012,0.9886085,-23.43183,23.17866,-7.142114,882.2677
2.801784992,0.5523891,0.08417917,-0.06037891,0.02279402,-0.0847884,0.998811,-23.06372,23.54068,-7.511044,882.2677
2.821797848,-0.06327073,0.02540921,0.2440082,0.02378456,-0.07945872,0.9838816,-23.06372,23.54068,-7.511044,882.2659
2.841810226,0.1206677,0.02516009,0.06095392,0.02132414,-0.07993796,0.9983637,-23.43529,23.54585,-7.141157,882.2659
2.861823559,0.0592659,0.1432525,-0.1218512,0.01399067,-0.07220855,0.9945408,-23.43529,23.54585,-7.141157,882.2626
2.881835937,6.89291,19.63304,-0.792118,0.3937132,-0.1239819,1.068687,-23.43529,23.54585,-7.141157,882.2626
2.901849270,-7.143359,4.10046,0.5488747,0.1235468,-0.1435439,0.9831676,-24.17451,23.55896,-7.147724,882.2609
2.921861649,-6.281483,0.2025506,0.3660121,0.4279396,-0.1500246,1.076304,-24.17451,23.55896,-7.147724,882.2609
2.941874981,-4.742419,-13.44013,0.4269663,0.137474,0.007786525,1.083501,-24.54524,23.19508,-6.281235,882.2642
2.961887360,-6.527733,-3.222884,0.2441037,-0.05033419,-0.04996701,0.8157795,-24.54524,23.19508,-6.281235,882.2642
2.981899738,-2.15679,4.691051,0.1831494,-0.02487526,-0.2081265,0.8932937,-24.54524,23.19508,-6.281235,882.2592
3.001912594,-32.44558,-3.872536,0.8536458,0.08778438,-0.1242235,1.039744,-26.34483,23.95673,-5.113488,882.2592
